"","datetime","transaction_type","keterangan","merchant_type","status","count"
"88",2024-05-02,"0013","PLN Payment Inquiry","igate6017","00",343
"89",2024-05-02,"0014","PLN Payment Posting","igate6017","00",122
"90",2024-05-02,"0017","Telco Postpaid Inquiry","igate6017","00",35
"91",2024-05-02,"0018","Telco Postpaid Posting","igate6017","00",16
"92",2024-05-02,"0019","Telkom Payment Inquiry","igate6017","00",49
"93",2024-05-02,"0020","Telkom Payment Posting","igate6017","00",20
"94",2024-05-02,"0021","Internet Payment Inquiry","igate6017","00",2
"95",2024-05-02,"0022","Internet Payment Posting","igate6017","00",1
"96",2024-05-02,"0023","TV Payment Inquiry","igate6017","00",9
"97",2024-05-02,"0024","TV Payment Posting","igate6017","00",4
"98",2024-05-02,"0029","Payment VA Inquiry","igate6017","00",111
"99",2024-05-02,"0030","Payment VA Posting","igate6017","00",50
"100",2024-05-02,"0031","Telkomsel Paket Data (Telesindo)","igate6017","00",39
"101",2024-05-02,"0040","Transfer to Other Bank Inquiry","igate6014","00",51
"102",2024-05-02,"0040","Transfer to Other Bank Inquiry","igate6017","00",5377
"103",2024-05-02,"0041","Transfer to Other Bank Posting","igate6014","00",47
"104",2024-05-02,"0041","Transfer to Other Bank Posting","igate6017","00",3053
"106",2024-05-02,"0115","Rate Exchange (Info Kurs)","igate6017","00",60
"107",2024-05-02,"0116","Mini Statement","igate6017","00",5774
"109",2024-05-02,"1012","Inquiry Topup DANA","igate6014","00",22165
"110",2024-05-02,"1013","Posting Topup DANA","igate6014","00",1061
"111",2024-05-02,"1027","Duplicate Check Compliance","igate6017","00",28
"112",2024-05-02,"1028","Create Compliance","igate6017","00",28
"113",2024-05-02,"1029","Create CIF","igate6017","00",28
"114",2024-05-02,"1030","Create Account","igate6017","00",30
"115",2024-05-02,"1130","KAI Purchase K0 Inquiry Train","igate6017","00",15
"116",2024-05-02,"1131","KAI Purchase K1 Inquiry Available Seat","igate6017","00",161
"117",2024-05-02,"1132","KAI Purchase K2 Inquiry Fare","igate6017","00",12
"118",2024-05-02,"1133","KAI Purchase K3 Booking Ticket","igate6017","00",2
"119",2024-05-02,"1139","Sepulsa Paket Data","igate6017","00",83
"120",2024-05-02,"1141","Rintis TopUp Ovo Inq","igate6017","00",697
"121",2024-05-02,"1142","Rintis TopUp Ovo Post","igate6017","00",318
"122",2024-05-02,"1143","Rintis TopUp Gopay Inq","igate6017","00",840
"123",2024-05-02,"1144","Rintis TopUp Gopay Post","igate6017","00",370
"124",2024-05-02,"1147","Rintis TopUp LinkAja Inq","igate6017","00",21
"125",2024-05-02,"1148","Rintis TopUp LinkAja Post","igate6017","00",6
"126",2024-05-02,"1151","XL Postpaid Inquiry","igate6017","00",2
"127",2024-05-02,"1152","XL Postpaid Posting","igate6017","00",1
"128",2024-05-02,"1156","Sepulsa PDAM Inquiry","igate6017","00",9
"129",2024-05-02,"1157","Sepulsa PDAM Posting","igate6017","00",7
"130",2024-05-02,"A001","Register ARO","igate6017","00",681
"131",2024-05-02,"A002","Upgrade Akun ARO","igate6017","00",52
"132",2024-05-02,"A004","Inquiry Balance Simple Account","igate6017","00",41999
"133",2024-05-02,"A006","Topup E-Money","igate6017","00",211
"134",2024-05-02,"A012","Account Statement Inquiry","igate6017","00",22
"135",2024-05-02,"A013","Inquiry CIF ARO","igate6017","00",58
"136",2024-05-02,"A014","Mini Statement ARO","igate6017","00",80
"137",2024-05-02,"A016","Posting Transfer Emoney","igate6017","00",4
"138",2024-05-02,"BEM0","Update Flag BEM","igate6017","00",45
"146",2024-05-02,"ECI0","ECI Authentication","igate6017","00",216
"147",2024-05-02,"MPN0","MPN Inquiry","igate6014","00",6
"148",2024-05-02,"MPN1","MPN Payment and Check Status","igate6017","00",3
"149",2024-05-02,"QR00","QRIS Inquiry MPAN","igate6017","00",3502
"150",2024-05-02,"QR01","QRIS Posting Payment","igate6017","00",2869
"151",2024-05-03,"0000","CIF Inquiry","igate6017","00",1300
"152",2024-05-03,"0001","Balance Inquiry","igate6017","00",6316
"153",2024-05-03,"0002","Saving Accounts Inquiry","igate6017","00",60875
"154",2024-05-03,"0003","Deposit Accounts Inquiry","igate6017","00",364
"155",2024-05-03,"0004","Loan Accounts Inquiry","igate6017","00",745
"156",2024-05-03,"0005","Account Statement Inquiry","igate6017","00",4316
"157",2024-05-03,"0006","Transfer Overbook Inquiry","igate6017","00",1771
"158",2024-05-03,"0007","Transfer Overbook Posting","igate6014","00",357
"159",2024-05-03,"0007","Transfer Overbook Posting","igate6017","00",1325
"160",2024-05-03,"0008","Transfer SKN Posting","igate6014","00",2
"161",2024-05-03,"0008","Transfer SKN Posting","igate6017","00",34
"162",2024-05-03,"0009","Transfer RTGS Posting","igate6014","00",8
"163",2024-05-03,"0009","Transfer RTGS Posting","igate6017","00",8
"164",2024-05-03,"0010","Telco Purchase","igate6017","00",428
"165",2024-05-03,"0011","PLN Purchase Inquiry","igate6017","00",249
"166",2024-05-03,"0012","PLN Purchase Posting","igate6017","00",215
"167",2024-05-03,"0013","PLN Payment Inquiry","igate6017","00",176
"168",2024-05-03,"0014","PLN Payment Posting","igate6017","00",67
"169",2024-05-03,"0017","Telco Postpaid Inquiry","igate6017","00",37
"170",2024-05-03,"0018","Telco Postpaid Posting","igate6017","00",16
"171",2024-05-03,"0019","Telkom Payment Inquiry","igate6017","00",25
"172",2024-05-03,"0020","Telkom Payment Posting","igate6017","00",12
"173",2024-05-03,"0023","TV Payment Inquiry","igate6017","00",8
"174",2024-05-03,"0024","TV Payment Posting","igate6017","00",4
"175",2024-05-03,"0029","Payment VA Inquiry","igate6017","00",90
"176",2024-05-03,"0030","Payment VA Posting","igate6017","00",41
"177",2024-05-03,"0031","Telkomsel Paket Data (Telesindo)","igate6017","00",29
"178",2024-05-03,"0040","Transfer to Other Bank Inquiry","igate6014","00",37
"179",2024-05-03,"0040","Transfer to Other Bank Inquiry","igate6017","00",4301
"180",2024-05-03,"0041","Transfer to Other Bank Posting","igate6014","00",25
"181",2024-05-03,"0041","Transfer to Other Bank Posting","igate6017","00",2483
"183",2024-05-03,"0115","Rate Exchange (Info Kurs)","igate6017","00",51
"184",2024-05-03,"0116","Mini Statement","igate6017","00",4910
"186",2024-05-03,"1012","Inquiry Topup DANA","igate6014","00",16973
"187",2024-05-03,"1013","Posting Topup DANA","igate6014","00",893
"188",2024-05-03,"1014","Inquiry Pembayaran Kartu Kredit","igate6014","00",1
"189",2024-05-03,"1015","Posting Pembayaran Kartu Kredit","igate6014","00",1
"190",2024-05-03,"1027","Duplicate Check Compliance","igate6017","00",31
"191",2024-05-03,"1028","Create Compliance","igate6017","00",30
"192",2024-05-03,"1029","Create CIF","igate6017","00",30
"193",2024-05-03,"1030","Create Account","igate6017","00",32
"194",2024-05-03,"1130","KAI Purchase K0 Inquiry Train","igate6017","00",2
"195",2024-05-03,"1131","KAI Purchase K1 Inquiry Available Seat","igate6017","00",11
"196",2024-05-03,"1139","Sepulsa Paket Data","igate6017","00",67
"197",2024-05-03,"1141","Rintis TopUp Ovo Inq","igate6017","00",643
"198",2024-05-03,"1142","Rintis TopUp Ovo Post","igate6017","00",290
"199",2024-05-03,"1143","Rintis TopUp Gopay Inq","igate6017","00",733
"200",2024-05-03,"1144","Rintis TopUp Gopay Post","igate6017","00",312
"201",2024-05-03,"1147","Rintis TopUp LinkAja Inq","igate6017","00",33
"202",2024-05-03,"1148","Rintis TopUp LinkAja Post","igate6017","00",10
"203",2024-05-03,"1151","XL Postpaid Inquiry","igate6017","00",5
"204",2024-05-03,"1152","XL Postpaid Posting","igate6017","00",2
"205",2024-05-03,"1156","Sepulsa PDAM Inquiry","igate6017","00",7
"206",2024-05-03,"1157","Sepulsa PDAM Posting","igate6017","00",3
"207",2024-05-03,"A001","Register ARO","igate6017","00",335
"208",2024-05-03,"A002","Upgrade Akun ARO","igate6017","00",6
"209",2024-05-03,"A004","Inquiry Balance Simple Account","igate6017","00",34990
"210",2024-05-03,"A006","Topup E-Money","igate6017","00",287
"211",2024-05-03,"A012","Account Statement Inquiry","igate6017","00",20
"212",2024-05-03,"A013","Inquiry CIF ARO","igate6017","00",111
"213",2024-05-03,"A014","Mini Statement ARO","igate6017","00",100
"214",2024-05-03,"A016","Posting Transfer Emoney","igate6017","00",2
"215",2024-05-03,"BEM0","Update Flag BEM","igate6017","00",49
"222",2024-05-03,"ECI0","ECI Authentication","igate6017","00",144
"223",2024-05-03,"MPN0","MPN Inquiry","igate6017","00",2
"224",2024-05-03,"QR00","QRIS Inquiry MPAN","igate6017","00",3262
"225",2024-05-03,"QR01","QRIS Posting Payment","igate6017","00",2832
"226",2024-05-04,"0000","CIF Inquiry","igate6017","00",527
"227",2024-05-04,"0001","Balance Inquiry","igate6017","00",1264
"228",2024-05-04,"0002","Saving Accounts Inquiry","igate6017","00",40159
"229",2024-05-04,"0003","Deposit Accounts Inquiry","igate6017","00",242
"230",2024-05-04,"0004","Loan Accounts Inquiry","igate6017","00",447
"231",2024-05-04,"0005","Account Statement Inquiry","igate6017","00",1270
"232",2024-05-04,"0006","Transfer Overbook Inquiry","igate6017","00",1126
"233",2024-05-04,"0007","Transfer Overbook Posting","igate6014","00",281
"234",2024-05-04,"0007","Transfer Overbook Posting","igate6017","00",809
"235",2024-05-04,"0008","Transfer SKN Posting","igate6017","00",2
"236",2024-05-04,"0010","Telco Purchase","igate6017","00",400
"237",2024-05-04,"0011","PLN Purchase Inquiry","igate6017","00",227
"238",2024-05-04,"0012","PLN Purchase Posting","igate6017","00",196
"239",2024-05-04,"0013","PLN Payment Inquiry","igate6017","00",124
"240",2024-05-04,"0014","PLN Payment Posting","igate6017","00",49
"241",2024-05-04,"0017","Telco Postpaid Inquiry","igate6017","00",13
"242",2024-05-04,"0018","Telco Postpaid Posting","igate6017","00",6
"243",2024-05-04,"0019","Telkom Payment Inquiry","igate6017","00",19
"244",2024-05-04,"0020","Telkom Payment Posting","igate6017","00",9
"245",2024-05-04,"0023","TV Payment Inquiry","igate6017","00",2
"246",2024-05-04,"0024","TV Payment Posting","igate6017","00",1
"247",2024-05-04,"0029","Payment VA Inquiry","igate6017","00",90
"248",2024-05-04,"0030","Payment VA Posting","igate6017","00",40
"249",2024-05-04,"0031","Telkomsel Paket Data (Telesindo)","igate6017","00",28
"250",2024-05-04,"0040","Transfer to Other Bank Inquiry","igate6014","00",92
"251",2024-05-04,"0040","Transfer to Other Bank Inquiry","igate6017","00",3331
"252",2024-05-04,"0041","Transfer to Other Bank Posting","igate6014","00",84
"253",2024-05-04,"0041","Transfer to Other Bank Posting","igate6017","00",1908
"255",2024-05-04,"0115","Rate Exchange (Info Kurs)","igate6017","00",33
"256",2024-05-04,"0116","Mini Statement","igate6017","00",3066
"258",2024-05-04,"1012","Inquiry Topup DANA","igate6014","00",17068
"259",2024-05-04,"1013","Posting Topup DANA","igate6014","00",807
"260",2024-05-04,"1014","Inquiry Pembayaran Kartu Kredit","igate6014","00",4
"261",2024-05-04,"1015","Posting Pembayaran Kartu Kredit","igate6014","00",1
"262",2024-05-04,"1027","Duplicate Check Compliance","igate6017","00",7
"263",2024-05-04,"1028","Create Compliance","igate6017","00",7
"264",2024-05-04,"1029","Create CIF","igate6017","00",7
"265",2024-05-04,"1030","Create Account","igate6017","00",7
"266",2024-05-04,"1130","KAI Purchase K0 Inquiry Train","igate6017","00",11
"267",2024-05-04,"1131","KAI Purchase K1 Inquiry Available Seat","igate6017","00",58
"268",2024-05-04,"1132","KAI Purchase K2 Inquiry Fare","igate6017","00",10
"269",2024-05-04,"1133","KAI Purchase K3 Booking Ticket","igate6017","00",1
"270",2024-05-04,"1136","KAI Purchase K6 Inquiry Seat","igate6017","00",5
"271",2024-05-04,"1139","Sepulsa Paket Data","igate6017","00",62
"272",2024-05-04,"1141","Rintis TopUp Ovo Inq","igate6017","00",651
"273",2024-05-04,"1142","Rintis TopUp Ovo Post","igate6017","00",287
"274",2024-05-04,"1143","Rintis TopUp Gopay Inq","igate6017","00",666
"275",2024-05-04,"1144","Rintis TopUp Gopay Post","igate6017","00",295
"276",2024-05-04,"1147","Rintis TopUp LinkAja Inq","igate6017","00",28
"277",2024-05-04,"1148","Rintis TopUp LinkAja Post","igate6017","00",12
"278",2024-05-04,"1151","XL Postpaid Inquiry","igate6017","00",7
"279",2024-05-04,"1152","XL Postpaid Posting","igate6017","00",3
"280",2024-05-04,"1155","Sepulsa Check Status","igate6017","00",2
"281",2024-05-04,"1156","Sepulsa PDAM Inquiry","igate6017","00",4
"282",2024-05-04,"1157","Sepulsa PDAM Posting","igate6017","00",3
"283",2024-05-04,"A001","Register ARO","igate6017","00",152
"284",2024-05-04,"A002","Upgrade Akun ARO","igate6017","00",1
"285",2024-05-04,"A004","Inquiry Balance Simple Account","igate6017","00",23438
"286",2024-05-04,"A006","Topup E-Money","igate6017","00",222
"287",2024-05-04,"A012","Account Statement Inquiry","igate6017","00",21
"288",2024-05-04,"A013","Inquiry CIF ARO","igate6017","00",19
"289",2024-05-04,"A014","Mini Statement ARO","igate6017","00",32
"290",2024-05-04,"A016","Posting Transfer Emoney","igate6017","00",7
"291",2024-05-04,"BEM0","Update Flag BEM","igate6017","00",13
"296",2024-05-04,"ECI0","ECI Authentication","igate6017","00",132
"297",2024-05-04,"QR00","QRIS Inquiry MPAN","igate6017","00",3001
"298",2024-05-04,"QR01","QRIS Posting Payment","igate6017","00",2636
"299",2024-05-05,"0000","CIF Inquiry","igate6017","00",239
"300",2024-05-05,"0001","Balance Inquiry","igate6017","00",509
"301",2024-05-05,"0002","Saving Accounts Inquiry","igate6017","00",35631
"302",2024-05-05,"0003","Deposit Accounts Inquiry","igate6017","00",234
"303",2024-05-05,"0004","Loan Accounts Inquiry","igate6017","00",430
"304",2024-05-05,"0005","Account Statement Inquiry","igate6017","00",1933
"305",2024-05-05,"0006","Transfer Overbook Inquiry","igate6017","00",718
"306",2024-05-05,"0007","Transfer Overbook Posting","igate6014","00",152
"307",2024-05-05,"0007","Transfer Overbook Posting","igate6017","00",521
"308",2024-05-05,"0010","Telco Purchase","igate6017","00",325
"309",2024-05-05,"0011","PLN Purchase Inquiry","igate6017","00",227
"310",2024-05-05,"0012","PLN Purchase Posting","igate6017","00",206
"311",2024-05-05,"0013","PLN Payment Inquiry","igate6017","00",80
"312",2024-05-05,"0014","PLN Payment Posting","igate6017","00",33
"313",2024-05-05,"0017","Telco Postpaid Inquiry","igate6017","00",17
"314",2024-05-05,"0018","Telco Postpaid Posting","igate6017","00",7
"315",2024-05-05,"0019","Telkom Payment Inquiry","igate6017","00",22
"316",2024-05-05,"0020","Telkom Payment Posting","igate6017","00",11
"317",2024-05-05,"0029","Payment VA Inquiry","igate6017","00",80
"318",2024-05-05,"0030","Payment VA Posting","igate6017","00",40
"319",2024-05-05,"0031","Telkomsel Paket Data (Telesindo)","igate6017","00",20
"320",2024-05-05,"0040","Transfer to Other Bank Inquiry","igate6014","00",31
"321",2024-05-05,"0040","Transfer to Other Bank Inquiry","igate6017","00",3000
"322",2024-05-05,"0041","Transfer to Other Bank Posting","igate6014","00",31
"323",2024-05-05,"0041","Transfer to Other Bank Posting","igate6017","00",1741
"325",2024-05-05,"0115","Rate Exchange (Info Kurs)","igate6017","00",31
"326",2024-05-05,"0116","Mini Statement","igate6017","00",2609
"328",2024-05-05,"1012","Inquiry Topup DANA","igate6014","00",18547
"329",2024-05-05,"1013","Posting Topup DANA","igate6014","00",676
"330",2024-05-05,"1027","Duplicate Check Compliance","igate6017","00",9
"331",2024-05-05,"1028","Create Compliance","igate6017","00",9
"332",2024-05-05,"1029","Create CIF","igate6017","00",9
"333",2024-05-05,"1030","Create Account","igate6017","00",9
"334",2024-05-05,"1130","KAI Purchase K0 Inquiry Train","igate6017","00",7
"335",2024-05-05,"1131","KAI Purchase K1 Inquiry Available Seat","igate6017","00",20
"336",2024-05-05,"1132","KAI Purchase K2 Inquiry Fare","igate6017","00",4
